Name,star.sivers.W+.dy
Comment,STAR AN for W+ (differential in y)
Reference,1511.06003
Process type,DY
Number of points,3
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.034
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
star.sivers.W+.dy.0,1 - 1 - 10007,1 - 1 - 7,250000.0,80.38,50.379999999999995,110.38,-0.38,-0.6,-0.2,5.25,0.5,10.0,0.15,0.15,0.053,1.0,False,25.0,25.0,-1.0,1.0
star.sivers.W+.dy.1,1 - 1 - 10007,1 - 1 - 7,250000.0,80.38,50.379999999999995,110.38,0.0,-0.2,0.2,5.25,0.5,10.0,0.27,0.11,0.004,1.0,False,25.0,25.0,-1.0,1.0
star.sivers.W+.dy.2,1 - 1 - 10007,1 - 1 - 7,250000.0,80.38,50.379999999999995,110.38,0.38,0.2,0.6,5.25,0.5,10.0,0.014,0.13,0.002,1.0,False,25.0,25.0,-1.0,1.0
