Name,LHCb8
Comment,LHCb 8TeV
Reference,arXiv:1511.08039
Process type,DY
Number of points,14
Number of uncorr.errors,2
Number of corr.errors,2
Number of norm.errors,1
List of norm.errors (relative),0.0
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Corr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb8.0,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,1.1,0.0,2.2,7.903,0.082,0.13,0.091,0.092,1.0,True,20.0,20.0,2.0,4.5
LHCb8.1,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,2.8,2.2,3.4,7.705,0.08,0.108,0.089,0.09,1.0,True,20.0,20.0,2.0,4.5
LHCb8.2,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,4.0,3.4,4.6,7.609,0.078,0.08,0.088,0.089,1.0,True,20.0,20.0,2.0,4.5
LHCb8.3,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,5.199999999999999,4.6,5.8,7.073,0.075,0.078,0.081,0.083,1.0,True,20.0,20.0,2.0,4.5
LHCb8.4,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,6.5,5.8,7.2,7.379,0.078,0.069,0.085,0.086,1.0,True,20.0,20.0,2.0,4.5
LHCb8.5,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,7.949999999999999,7.2,8.7,6.813,0.076,0.074,0.078,0.08,1.0,True,20.0,20.0,2.0,4.5
LHCb8.6,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,9.6,8.7,10.5,6.751,0.075,0.064,0.078,0.079,1.0,True,20.0,20.0,2.0,4.5
LHCb8.7,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,11.65,10.5,12.8,7.204,0.078,0.073,0.083,0.084,1.0,True,20.0,20.0,2.0,4.5
LHCb8.8,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,14.100000000000001,12.8,15.4,6.27,0.073,0.053,0.072,0.073,1.0,True,20.0,20.0,2.0,4.5
LHCb8.9,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,17.2,15.4,19.0,6.534,0.072,0.064,0.075,0.076,1.0,True,20.0,20.0,2.0,4.5
LHCb8.10,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,21.75,19.0,24.5,6.953,0.071,0.066,0.08,0.081,1.0,True,20.0,20.0,2.0,4.5
LHCb8.11,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,29.25,24.5,34.0,6.999,0.069,0.062,0.08,0.082,1.0,True,20.0,20.0,2.0,4.5
LHCb8.12,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,48.5,34.0,63.0,7.602,0.07,0.072,0.087,0.089,1.0,True,20.0,20.0,2.0,4.5
LHCb8.13,1 - 1 - 5,64000000.0,91.0,60.0,120.0,3.25,2.0,4.5,166.5,63.0,270.0,2.176,0.037,0.025,0.025,0.025,1.0,True,20.0,20.0,2.0,4.5
